business_name,street_address,city,state,zip_code,phone,website,hours,rating,review_count,categories,source_file
Nadashaa Heeni,628 NE 81st St Suite 10,Vancouver,WA,98665.0,+1 503-501-7180,http://infusepnw.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""Closed""]}",4.9,28,Medical spa,Generated by Outscraper ©
Three Points Healing,3435 Martin Way E Suite C,Olympia,WA,98506.0,+1 360-488-8211,http://3pointshealing.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""10AM-3PM""], ""Sunday"": [""Closed""]}",4.2,57,"Medical spa, Mental health clinic, Mental health service, Nutritionist, Permanent make-up clinic, Psychiatrist, Psychotherapist, Weight loss service, Wellness center",Generated by Outscraper ©
Rehydrate IV Infusion,2 Trap Falls Rd Suite 411,Shelton,CT,6484.0,+1 475-260-8877,https://www.rehydrateivinfusion.com/,"{""Monday"": [""9:30AM-5PM""], ""Tuesday"": [""9:30AM-2:30PM""], ""Wednesday"": [""9:30AM-6:30PM""], ""Thursday"": [""9:30AM-4PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""9AM-2PM""], ""Sunday"": [""Closed""]}",5.0,77,Medical spa,Generated by Outscraper ©
Level Up Wellness,1334 N Whitman Ln STE. 180,Liberty Lake,WA,99019.0,+1 509-992-4850,https://www.leveluplibertylake.com/%3Futm_source%3Dgoogle-map%26utm_campaign%3Dgmb%26utm_medium%3Dorganic,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""8AM-2PM""], ""Saturday"": [""8AM-1PM""], ""Sunday"": [""Closed""]}",5.0,40,"Wellness center, Day spa",Generated by Outscraper ©
Twin Rivers IV & Wellness Lounge - Clayton NC,4879 NC 42 Suite G,Clayton,NC,27527.0,+1 919-631-6574,https://twinriversiv.com/,"{""Monday"": [""9AM-3PM""], ""Tuesday"": [""10AM-4PM""], ""Wednesday"": [""10AM-4PM""], ""Thursday"": [""10AM-4PM""], ""Friday"": [""11AM-5PM""], ""Saturday"": [""10AM-4PM""], ""Sunday"": [""Closed""]}",5.0,102,Health spa,Generated by Outscraper ©
Northwest Ketamine Clinics- Tacoma,1901 S Union Ave Building B Suite 4001,Tacoma,WA,98405.0,+1 206-309-2299,https://nwketamineclinics.com/tacoma/%3Futm_source%3Dgoogle%26utm_medium%3Dlocal%26utm_campaign%3Dtacoma_gbp,"{""Monday"": [""Closed""], ""Tuesday"": [""9AM-6:30PM""], ""Wednesday"": [""9AM-6:30PM""], ""Thursday"": [""9AM-6:30PM""], ""Friday"": [""9AM-6:30PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,62,"Mental health clinic, Medical clinic, Nurse practitioner",Generated by Outscraper ©
Pure Infusion Suites of Olympia,360 Lilly Rd NE STE B,Olympia,WA,98506.0,+1 360-436-6800,https://pureinfusionsuites.com/locations/%23washington,"{""Monday"": [""8AM-4PM""], ""Tuesday"": [""8AM-4PM""], ""Wednesday"": [""8AM-4PM""], ""Thursday"": [""8AM-4PM""], ""Friday"": [""Closed""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,38,Medical group,Generated by Outscraper ©
Elevating Wellness NW LLC,4520 Intelco Loop SE Bldg 3E,Lacey,WA,98503.0,+1 360-489-0429,https://www.elevatingwellnessnw.com/,"{""Monday"": [""10AM-3PM""], ""Tuesday"": [""Closed""], ""Wednesday"": [""10AM-3PM""], ""Thursday"": [""10AM-3PM""], ""Friday"": [""10AM-3PM""], ""Saturday"": [""10AM-2:30PM""], ""Sunday"": [""Closed""]}",5.0,14,"Alternative medicine practitioner, Naturopathic practitioner",Generated by Outscraper ©
Temple Natural Health,4520 Intelco Loop SE #3a,Lacey,WA,98503.0,+1 406-282-1658,https://www.templenaturalhealth.com/olympia-natural-medicine-naturopathy/,"{""Monday"": [""8:30AM-7:15PM""], ""Tuesday"": [""8:30AM-7:15PM""], ""Wednesday"": [""8:30AM-7:15PM""], ""Thursday"": [""8:30AM-7:15PM""], ""Friday"": [""9AM-4:15PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,51,"Medical spa, Alternative medicine practitioner, Craniosacral therapy, Doctor, Holistic medicine practitioner, Homeopath, Lymph drainage therapist, Naturopathic practitioner, Weight loss service, Wellness center",Generated by Outscraper ©
PeaceHealth Infusion Center at Medical Center Physicians Building,505 NE 87th Ave #350,Vancouver,WA,98664.0,+1 360-514-2565,https://www.peacehealth.org/locations/vancouver/peacehealth-infusion-center-medical-center-physicians-building%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_content%3DVANC-072%26utm_campaign%3Dgmb,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.6,11,Cancer treatment center,Generated by Outscraper ©
Paradigm Wellness Center,316 E 4th Plain Blvd Suite C,Vancouver,WA,98663.0,+1 360-226-2700,https://paradigmpnw.com/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,18,IV therapy service,Generated by Outscraper ©
Body Balance Health and Aesthetics Medicine,1905 SE 192nd Ave STE 201 STE 201,Camas,WA,98607.0,+1 360-859-8393,https://bodybalancemed.com/,"{""Monday"": [""9AM-5:30PM""], ""Tuesday"": [""9AM-5:30PM""], ""Wednesday"": [""9AM-5:30PM""], ""Thursday"": [""9AM-5:30PM""], ""Friday"": [""9AM-5:30PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,160,"Medical clinic, Holistic medicine practitioner, IV therapy service, Laser hair removal service, Medical spa, Women's health clinic, Skin care clinic, Weight loss service, Wellness center",Generated by Outscraper ©
Holistique IV Lounge,1200 116th Ave NE Ste D,Bellevue,WA,98004.0,+1 425-451-0404,https://holistique.com/iv-lounge/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.5,11,"Wellness center, Hyperbaric medicine physician, Medical spa",Generated by Outscraper ©
Holistique Medical Center & IV Lounge,1200 116th Ave NE C,Bellevue,WA,98004.0,+1 425-451-0404,https://holistique.com/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.4,167,"Naturopathic practitioner, Cancer treatment center, Craniosacral therapy, Holistic medicine practitioner, Massage therapist, Medical Center, Nutritionist, Vitamin & supplements store",Generated by Outscraper ©
Faces in Bloom,9120 NE Vancouver Mall Loop #210,Vancouver,WA,98662.0,+1 360-809-1333,http://www.facesinbloomnw.com/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""9AM-3PM""], ""Sunday"": [""Closed""]}",5.0,518,Medical spa,Generated by Outscraper ©
"Emerge Natural Health Care, PLLC",8513 NE Hazel Dell Ave #201,Vancouver,WA,98665.0,+1 360-787-3615,http://emergenaturalhealth.com/,"{""Monday"": [""8AM-6PM""], ""Tuesday"": [""8AM-6PM""], ""Wednesday"": [""8AM-7PM""], ""Thursday"": [""8AM-4PM""], ""Friday"": [""9AM-1PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.2,43,"Naturopathic practitioner, Acupuncturist",Generated by Outscraper ©
Evolve Aesthetics and Wellness,330 E Mill Plain Blvd Ste 401,Vancouver,WA,98660.0,+1 360-726-4399,https://evolveaesthetics.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-4PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,75,Medical spa,Generated by Outscraper ©
Vigor Natural Health Clinic,3200 SE 164th Ave #101,Vancouver,WA,98683.0,+1 360-406-4884,http://www.vigornaturalhealth.com/,"{""Monday"": [""8AM-4PM""], ""Tuesday"": [""8AM-4PM""], ""Wednesday"": [""8AM-4PM""], ""Thursday"": [""8AM-4PM""], ""Friday"": [""8AM-2PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.0,47,Naturopathic practitioner,Generated by Outscraper ©
Pure Infusion Suites of Vancouver,8308 E Mill Plain Blvd Ste 102,Vancouver,WA,98664.0,+1 360-639-8720,https://pureinfusionsuites.com/locations/%23washington,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-12PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,15,Medical group,Generated by Outscraper ©
"Okojie Wellness- Testosterone and Hormone Replacement Therapy in Vancouver, Washington",4610 NE 77th Ave Suite 138,Vancouver,WA,98662.0,+1 360-287-4402,https://www.okojiewellness.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dwa,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,79,"Doctor, Medical spa, Specialized clinic",Generated by Outscraper ©
365 IV Drips,725 River Rd Suite #213,Edgewater,NJ,7020.0,+1 201-293-6078,https://365ivdrips.com/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""10AM-3PM""], ""Sunday"": [""Closed""]}",5.0,48,Wellness center,Generated by Outscraper ©
SwiftHealth--Mobile IV Therapy and Housecalls,78 Franklin St,Englewood,NJ,7631.0,+1 609-270-1137,https://getswifthealth.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp-website-link,"{""Monday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8AM-8PM""], ""Saturday"": [""8AM-8PM""], ""Sunday"": [""8AM-8PM""]}",5.0,136,"IV therapy service, Health spa, Home health care service, Medical spa",Generated by Outscraper ©
Healthy Living Liberty Lake,1431 N Liberty Lake Rd STE B,Liberty Lake,WA,99019.0,+1 509-924-6199,https://www.healthylivingll.com/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",3.1,23,"Health consultant, Wellness center",Generated by Outscraper ©
Vancouver Ketamine Infusions,1499 SE Tech Center Pl #380,Vancouver,WA,98683.0,+1 360-360-2244,http://vancouverketamineinfusions.com/,"{""Monday"": [""8AM-8PM""], ""Tuesday"": [""8AM-8PM""], ""Wednesday"": [""8AM-8PM""], ""Thursday"": [""8AM-8PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,30,"Mental health clinic, Medical clinic",Generated by Outscraper ©
New U Women's Clinic & Aesthetics,10973 W 10th Ave,Kennewick,WA,99336.0,+1 509-491-1944,https://www.newuwomensclinic.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp_kennewick%26utm_content%3Dwebsite_button,"{""Monday"": [""7:30AM-5:30PM""], ""Tuesday"": [""7:30AM-5:30PM""], ""Wednesday"": [""7:30AM-5:30PM""], ""Thursday"": [""7:30AM-5:30PM""], ""Friday"": [""7:30AM-5:30PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.8,355,"Medical spa, Women's health clinic, Skin care clinic, Weight loss service",Generated by Outscraper ©
Willman Wellness,26076 Iowa Ave NE C,Kingston,WA,98346.0,+1 360-271-8806,https://www.willmanwellness.com/,"{""Monday"": [""9:30AM-4PM""], ""Tuesday"": [""9:30AM-4PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""9:30AM-4PM""], ""Friday"": [""9:30AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,38,"Massage therapist, Lymph drainage therapist",Generated by Outscraper ©
"Humble Beauty LLC, Medical Aesthetics",10978 WA-104 Ste 125,Kingston,WA,98346.0,+1 360-900-6569,https://humblebeautykitsap.com/,"{""Monday"": [""Closed""], ""Tuesday"": [""9AM-4PM""], ""Wednesday"": [""9AM-4PM""], ""Thursday"": [""9AM-4PM""], ""Friday"": [""9AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,52,"Medical spa, Registered general nurse, Spa",Generated by Outscraper ©
Restore Hyper Wellness,1520 Highlands Dr NE Ste 100,Issaquah,WA,98029.0,+1 425-651-8137,https://www.restore.com/locations/wa-issaquah-wa002%3Futm_source%3Dgmb%26utm_medium%3DYext%26y_source%3D1_MzE2Mjk5NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-5PM""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""10AM-4PM""]}",4.6,181,"Medical spa, Wellness center",Generated by Outscraper ©
IVX Health Infusion Center,225 Allwood Rd Unit 8,Clifton,NJ,7012.0,+1 973-200-1886,http://www.ivxhealth.com/locations/new-jersey/north-jersey/clifton,"{""Monday"": [""7AM-7PM""], ""Tuesday"": [""7AM-7PM""], ""Wednesday"": [""7AM-7PM""], ""Thursday"": [""7AM-7PM""], ""Friday"": [""7AM-7PM""], ""Saturday"": [""10AM-3PM""], ""Sunday"": [""Closed""]}",4.8,20,Medical clinic,Generated by Outscraper ©
Access IV Vitamin Lounge,215 Myrtle Ave 2nd Floor,Boonton,NJ,7005.0,+1 877-483-8357,https://accessinfusionlounge.com/,"{""Monday"": [""8AM-6PM""], ""Tuesday"": [""8AM-6PM""], ""Wednesday"": [""8AM-6PM""], ""Thursday"": [""8AM-6PM""], ""Friday"": [""8AM-6PM""], ""Saturday"": [""8AM-6PM""], ""Sunday"": [""Closed""]}",5.0,55,"Wellness center, Medical spa",Generated by Outscraper ©
Manhattan IV Therapy,492 6th Ave,New York,NY,10011.0,+1 646-454-9000,https://manhattanivtherapy.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""9AM-3PM""], ""Sunday"": [""Closed""]}",5.0,353,"IV therapy service, Local medical services, Medical spa",Generated by Outscraper ©
Mobile IV Drip,15w W 47th St,New York,NY,10036.0,+1 855-483-7471,https://mobileivdrip.com/,"{""Monday"": [""8AM-9PM""], ""Tuesday"": [""8AM-9PM""], ""Wednesday"": [""8AM-9PM""], ""Thursday"": [""8AM-9PM""], ""Friday"": [""8AM-9PM""], ""Saturday"": [""8AM-9PM""], ""Sunday"": [""8AM-9PM""]}",5.0,316,"IV therapy service, Alternative medicine practitioner, Health consultant, Health spa, Home health care service, Medical spa, Occupational health service, Skin care clinic, Weight loss service",Generated by Outscraper ©
LIFEDRIPS.IV,60 Christopher Columbus Dr,Jersey City,NJ,7302.0,+1 855-710-5433,https://www.lifedripsiv.com/,"{""Monday"": [""Closed""], ""Tuesday"": [""Closed""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""3-7PM""], ""Saturday"": [""12-4PM""], ""Sunday"": [""9AM-12PM""]}",3.5,11,Medical spa,Generated by Outscraper ©
Revive Wellness,8656 W Gage Blvd Suite B203,Kennewick,WA,99336.0,+1 509-579-0109,http://revivewellnessllc.net/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,65,"Medical spa, Health spa, Medical office, Medical clinic, Women's health clinic, Weight loss service, Wellness center",Generated by Outscraper ©
Honey Glow Health,19651 WA-410,Bonney Lake,WA,98391.0,+1 253-921-4569,https://honeyglowhealth.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,154,Medical spa,Generated by Outscraper ©
LaVie Skinthetics Wellness Spa,2158 S 314th St,Federal Way,WA,98003.0,+1 206-212-6976,http://www.lavie-spa.com/,"{""Monday"": [""9AM-7PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""], ""Thursday"": [""9AM-7PM""], ""Friday"": [""9AM-7PM""], ""Saturday"": [""10AM-5PM""], ""Sunday"": [""Closed""]}",4.8,36,"Medical spa, Facial spa, Health spa, IV therapy service, Laser hair removal service, Day spa, Skin care clinic, Tattoo removal service, Weight loss service, Wellness center",Generated by Outscraper ©
Bella MD Health and Wellness,1507 NE 150th St Suite B,Shoreline,WA,98155.0,+1 425-286-8041,https://bellahw.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""Closed""], ""Friday"": [""Closed""], ""Saturday"": [""9AM-5PM""], ""Sunday"": [""Closed""]}",5.0,12,"Medical spa, Skin care clinic, Weight loss service",Generated by Outscraper ©
"Hello Nurse, LLC",22833 Bothell Everett Hwy #204,Bothell,WA,98021.0,+1 425-523-1842,https://hellonurse-llc.com/,"{""Monday"": [""4:45-7PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""4:45-7PM""], ""Thursday"": [""4:45-7PM""], ""Friday"": [""4:45-7PM""], ""Saturday"": [""10AM-5PM""], ""Sunday"": [""10AM-5PM""]}",4.9,38,"Medical spa, Health spa, Medical laboratory, Vitamin & supplements store, Weight loss service",Generated by Outscraper ©
IVitality Bellevue,1020 108th Ave NE #130,Bellevue,WA,98004.0,+1 425-559-2915,https://www.ivitalitylife.com/locations/ivitality-bellevue/,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-2PM"", ""3-7PM""], ""Wednesday"": [""10AM-2PM"", ""3-7PM""], ""Thursday"": [""10AM-2PM"", ""3-7PM""], ""Friday"": [""10AM-2PM"", ""3-7PM""], ""Saturday"": [""10AM-2PM"", ""3-7PM""], ""Sunday"": [""Closed""]}",4.8,79,Wellness center,Generated by Outscraper ©
IVFusionMD,14450 NE 29th Pl #230,Bellevue,WA,98007.0,+1 425-321-5537,http://www.ivfusionmd.com/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.9,13,"Anesthesiologist, Plastic surgeon",Generated by Outscraper ©
Apex Health & Wellness,1800 116th Ave NE #104,Bellevue,WA,98004.0,+1 425-366-8473,https://apex-healthwellness.com/,"{""Monday"": [""7AM-7PM""], ""Tuesday"": [""7AM-7PM""], ""Wednesday"": [""7AM-7PM""], ""Thursday"": [""7AM-7PM""], ""Friday"": [""7AM-3PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,52,"Doctor, Alternative medicine practitioner, Health spa, Medical Center, Medical office, Men's health physician, Naturopathic practitioner, Sports medicine clinic, Weight loss service, Wellness center",Generated by Outscraper ©
Source of Life IV and Wellness,1460 Morris Ave #3B,Union,NJ,7083.0,+1 908-858-7029,https://sourceoflifeiv.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""10AM-1PM""], ""Sunday"": [""Closed""]}",5.0,14,Medical spa,Generated by Outscraper ©
PNW Hydration & Wellness,615 Pioneer Wy E #114,Puyallup,WA,98372.0,+1 253-446-6086,http://pnwhydration.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""9AM-6PM""], ""Sunday"": [""10AM-3PM""]}",5.0,489,Health spa,Generated by Outscraper ©
True Heal Wellness,261 James St Ste 1D,Morristown,NJ,7960.0,+1 862-781-0009,https://www.truehealwellness.com/,"{""Monday"": [""9AM-6PM""], ""Tuesday"": [""9AM-6PM""], ""Wednesday"": [""9AM-6PM""], ""Thursday"": [""9AM-6PM""], ""Friday"": [""9AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.8,41,"Medical spa, Health spa, Skin care clinic, Weight loss service",Generated by Outscraper ©
Liquid Life IV,815 N Mecklenburg Ave,South Hill,VA,23970.0,+1 434-362-4490,https://liquidlifeivco.com/,"{""Monday"": [""9AM-4PM""], ""Tuesday"": [""9AM-4PM""], ""Wednesday"": [""9AM-4PM""], ""Thursday"": [""9AM-4PM""], ""Friday"": [""9AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,89,Health spa,Generated by Outscraper ©
Vital Care of Tacoma,19226 66th Ave S L-107-108,Kent,WA,98032.0,+1 253-452-4045,http://vitalcaretacoma.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,14,"Local medical services, Medical Center, Medical clinic",Generated by Outscraper ©
Island RevIVe,1812 Main St Suite C,Chester,MD,21619.0,+1 443-769-4648,http://www.islandrevive.com/,"{""Monday"": [""9AM-7PM""], ""Tuesday"": [""9AM-7PM""], ""Wednesday"": [""9AM-7PM""], ""Thursday"": [""9AM-7PM""], ""Friday"": [""9AM-7PM""], ""Saturday"": [""9AM-7PM""], ""Sunday"": [""9AM-7PM""]}",5.0,12,"IV therapy service, Health spa",Generated by Outscraper ©
New Wave Functional & Aesthetic Medicine,123 Wells Ave S,Renton,WA,98057.0,+1 425-572-6725,https://www.newwavewa.com/,"{""Monday"": [""9AM-5PM""], ""Tuesday"": [""9AM-5PM""], ""Wednesday"": [""9AM-5PM""], ""Thursday"": [""9AM-5PM""], ""Friday"": [""9AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,111,"Medical spa, Medical clinic, Mental health clinic, Weight loss service",Generated by Outscraper ©
Arctic Elevation,1133 Lake Washington Blvd N #80,Renton,WA,98056.0,+1 425-400-2925,https://www.arcticelevation.com/,"{""Monday"": [""Closed""], ""Tuesday"": [""10AM-7PM""], ""Wednesday"": [""10AM-7PM""], ""Thursday"": [""10AM-7PM""], ""Friday"": [""10AM-7PM""], ""Saturday"": [""10AM-4PM""], ""Sunday"": [""10AM-4PM""]}",4.9,55,Wellness center,Generated by Outscraper ©
IV League Hydration and Wellness LLC,3803 Cedar Ave,Camp Hill,PA,17011.0,+1 717-346-8348,https://ivleaguehw.com/,"{""Monday"": [""Closed""], ""Tuesday"": [""8AM-4PM""], ""Wednesday"": [""Closed""], ""Thursday"": [""8AM-4PM""], ""Friday"": [""Closed""], ""Saturday"": [""8AM-2PM""], ""Sunday"": [""Closed""]}",5.0,24,Health spa,Generated by Outscraper ©
Elevate Wellness NW,1494 Dike Access Rd Suite B,Woodland,WA,98674.0,+1 360-300-5004,http://www.elevatewellnessnw.com/,"{""Monday"": [""9AM-4PM""], ""Tuesday"": [""9AM-4PM""], ""Wednesday"": [""9AM-4PM""], ""Thursday"": [""9AM-4PM""], ""Friday"": [""9AM-4PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,43,Health and beauty shop,Generated by Outscraper ©
Lighthouse Infusions & Seattle Ketamine,5701 NE Bothell Way # 4,Kenmore,WA,98028.0,+1 425-835-2363,https://lhinfusions.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dlocal-seattle,"{""Monday"": [""8AM-5:30PM""], ""Tuesday"": [""8AM-5:30PM""], ""Wednesday"": [""8AM-5:30PM""], ""Thursday"": [""8AM-5:30PM""], ""Friday"": [""8AM-5:30PM""], ""Saturday"": [""8AM-5:30PM""], ""Sunday"": [""8AM-5:30PM""]}",5.0,44,"Wellness center, Medical clinic, Pain control clinic, Mental health clinic",Generated by Outscraper ©
"Bothell Integrated Health, LLC",18920 Bothell Way NE # 204,Bothell,WA,98011.0,+1 425-424-3730,http://www.bothellintegratedhealth.com/,"{""Monday"": [""8:30AM-7PM""], ""Tuesday"": [""8AM-7PM""], ""Wednesday"": [""8AM-6:15PM""], ""Thursday"": [""8:30AM-7PM""], ""Friday"": [""8:45AM-6PM""], ""Saturday"": [""8:45AM-2PM""], ""Sunday"": [""Closed""]}",4.8,111,Massage therapist,Generated by Outscraper ©
Sculpt Wellness,5224 Outlet Dr,Pasco,WA,99301.0,+1 509-579-0089,https://sculpttricities.com/,"{""Monday"": [""8:30AM-7PM""], ""Tuesday"": [""8:30AM-7PM""], ""Wednesday"": [""2:30-7PM""], ""Thursday"": [""8:30AM-7PM""], ""Friday"": [""8:30AM-7PM""], ""Saturday"": [""8AM-2PM""], ""Sunday"": [""Closed""]}",4.9,304,"Wellness center, Day spa, Facial spa, Health consultant, Health spa, Weight loss service",Generated by Outscraper ©
Nextdoor Wellness,5908 Bedford St Suite A1,Pasco,WA,99301.0,+1 509-537-1971,https://nextdoor-wellness.com/,"{""Monday"": [""8AM-5PM""], ""Tuesday"": [""8AM-5PM""], ""Wednesday"": [""8AM-5PM""], ""Thursday"": [""8AM-5PM""], ""Friday"": [""8AM-5PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",5.0,25,"Medical spa, Day spa, Health spa",Generated by Outscraper ©
Moses Lake Aesthetics and Wellness,2900 W Broadway Ave,Moses Lake,WA,98837.0,+1 509-431-1013,http://mlaestheticsandwellness.com/,"{""Monday"": [""10AM-6PM""], ""Tuesday"": [""10AM-6PM""], ""Wednesday"": [""10AM-6PM""], ""Thursday"": [""10AM-6PM""], ""Friday"": [""10AM-6PM""], ""Saturday"": [""Closed""], ""Sunday"": [""Closed""]}",4.8,22,Medical spa,Generated by Outscraper ©
